K	ASHAD	Ashad-Plate-1.jpg	Plate (Heavy)	Fire	Standard	Pailune, Demeniss
K	ASHCLAW (BLACK BEAR)	Black-Bear-Heavy-1.jpg	Hybrid Cloth-Leather	Ice	Standard	Pailune
K	ASHEN (TARANDUS)	The-Ashen-1.jpg	Hybrid Leather-Plate	Ice	Standard	Pailune
K	ASHEN WOLF	Ashen-Wolf-1.jpg	Leather (Medium)	Lightning	Standard	Pailune
K	ATOR'S WILL (ANTUMBRA)	Ators-Will-1.jpg	Hybrid Cloth-Leather	None	Standard	Pywel
K	BELKANDOR	Belkandor-Plate-1.jpg	Plate (Heavy)	Fire	Standard	Demeniss, Delesyia, Crimson Desert
K	BALTHEON	Baltheon-Front-Preview.jpg	Plate (Heavy)	Non-Standard	Non-Standard	Hernand
K	BANDIT	Bandit-1.jpg	Cloth (Light)	Ice	Standard	Hernand
K	BEDURE	Bedure-Plate-1.jpg	Hybrid Cloth-Leather	Ice, Lightning	Standard	Hernand
K	BEEKEEPING	Beekeeper-1.jpg	Hybrid Cloth-Leather	Ice, Lightning	Standard	Hernand
K	BLACKWING	Blackwing-1.jpg	Leather (Medium)	Lightning	Standard	Hernand, Demeniss
K	BLINDING ARROWS	Blinding-Arrows-1.jpg	Hybrid Cloth-Leather	Ice, Lightning	Non-Standard	Demeniss
K	BOLTON	Bolton-Plate-1.jpg	Hybrid Leather-Plate	Fire	Standard	Hernand
K	CANTA	Canta-Plate.jpg	Plate (Heavy)	Fire	Standard	Hernand
K	CARTA	Carta-Plate-1.jpg	Plate (Heavy)	None	Non-Standard	Demeniss, Delesyia
K	CATFISH PIRATE	Catfish-Pirate-1.jpg	Hybrid	Fire	Non-Standard	Hernand, Delesyia
K	CHELCIA	Chelcia-1.jpg	Plate (Heavy)	Fire	Non-Standard	Demeniss
K	CIVILIAN DISGUISE	Civilian-Disguise-1-1.jpg	Cloth (Light)	Ice	Standard	Pywel
K	CONDEMNER (RIGHTEOUS INQUISITORS)	Condemner-1.jpg	Hybrid Leather-Plate	Fire, Lightning	Standard	Demeniss
K	CRIMSON CHASER (CRIMSON WARDEN)	Crimson-Chaser-1-1.jpg	Plate (Heavy)	Fire	Standard	Hernand
K	CURSED SOUL (FORTAIN, THE CURSED KNIGHT)	Cursed-Soul-1-1.jpg	Plate (Heavy)	Fire	Standard	Hernand
K	DARK MARKSMAN'S PLATE (SAMARA, THE SANDWATCHER)	Dark-Marksmans-Plate-with-Weapons-1.jpg	Plate (Heavy)	Fire	Standard	Demeniss
K	DARK RINGLEADER	Dark-Ringleader-1.jpg	Hybrid Cloth-Leather	Ice, Lightning	Standard	Hernand
K	DELESYIAN CLOTH	Delesyian-Cloth-1.jpg	Cloth (Light)	Ice	Standard	Delesyia
K	DELESYIAN GUARD	Delesyian-Guard-1.jpg	Hybrid Cloth-Leather	Lightning	Standard	Delesyia
K	DELESYIAN MILITARY	Delesyian-Military-1.jpg	Hybrid Cloth-Leather	Lightning	Standard	Delesyia
K	DEMENISS CEREMONIAL	Demeniss-Ceremonial-1.jpg	Plate (Heavy)	Fire	Standard	Demeniss
K	DEMENISSIAN GRAND GENERAL (LUCIAN BASTIER)	Demenissian-Grand-General-1.jpg	Plate (Heavy)	Lightning	Normal	Demeniss, Hernand, Pailune
K	DEMENISSIAN SOLDIER	Demeniss-Soldier-1.jpg	Hybrid Leather-Plate	Lightning	Standard	Demeniss
K	DESERT MARAUDER (HELMS)	Desert-Marauder-Helms-1.jpg	Hybrid Leather-Plate	Ice	Standard	Crimson Desert
K	DEWHAVEN STANDARD	Dewhaven-1.jpg	Hybrid Leather-Plate	Ice, Lightning	Standard	Delesyia, Hernand
K	DRAGON FLAME (URDAVAHN)	Dragon-Flame-1.jpg	Plate (Heavy)	Fire	Standard	Crimson Desert
K	DUSKFANG	Duskfang-Leather-1.jpg	Leather (Medium)	Lightning	Standard	Hernand
K	FALLEN KINGDOM	Armor-of-the-Fallen-Kingdom-1.jpg	Hybrid Leather-Plate	Lightning	Standard	Hernand
K	FERMAN	Ferman-Plate-1.jpg	Hybrid Leather-Plate	Fire, Lightning	Standard	Delesyia
K	FLAME KNIGHT SOLDIER	Flame-Knight-1.jpg	Hybrid Leather-Plate	Lightning	Non-Standard	Demeniss
K	FREESWORD	Freesword-1.jpg	Leather (Medium)	Ice, Lightning	Standard	Hernand, Demeniss
K	FROSTCURSED	Frostcursed-1.jpg	Plate (Heavy)	Ice	Non-Standard	Demeniss
K	FROZEN HEART	Frozen-Heart-1.jpg	Plate (Heavy)	Fire	Non-Standard	Delesyia
K	GOLDEN FREE COMPANY (TWILIGHT MESSENGERS)	Twilight-Messenger-1.jpg	Plate (Heavy)	Fire	Standard	Crimson Desert
K	GOLDEN GREED	Golden-Greed-1.jpg	Plate (Heavy)	Fire	Standard	Delesyia, Crimson Desert
K	GREYMANE	Greymane-1.jpg	Cloth (Light)	Ice	Standard	Hernand, Pailune
K	GREY WOLF	Grey-Wolf-1.jpg	Leather (Medium)	Lightning	Non-Standard	Hernand, Pailune
K	HELFRYN	Helfryn-Leather-1-1.jpg	Leather (Medium)	Ice, Lightning	Non-Standard	Demeniss
K	HERNANDIAN BANQUET ATTIRE	Hernandian-Banquet-Attire-1.jpg	Hybrid Cloth-Leather	Lightning	Standard	Hernand
K	HERNANDIAN HONOR GUARD (BARDEN MIDDLER)	Hernandian-Honor-Guard-1.jpg	Hybrid Cloth-Leather	Ice, Lightning	Standard	Hernand
K	HUNGERING FANG	Hungering-Fang-Leather-Armor-1-1.jpg	Leather (Medium)	Lightning	Non-Standard	Pailune
K	ICEWING	Icewing-1.jpg	Plate (Heavy)	Fire	Standard	Pailune, Hernand, Others
K	IRONWILLED GUARDIAN (PAULUS)	Ironwilled-Guardian-1.jpg	Leather (Medium)	Ice, Lightning	Standard	Hernand, Pailune
K	JACKALS	Jackals-1.jpg	Leather (Medium)	Lightning	Standard	Pailune
K	JESTER	Jester-1.jpg	Leather (Medium)	Lightning	Standard	Demeniss
K	KNIGHT OF CARNAGE (GREGOR, HALBERD OF CARNAGE)	Knight-of-Carnage-1.jpg	Plate (Heavy)	Fire	Standard	Demeniss
K	LAUQUES	image-2.jpeg	Hybrid	Ice, Lightning	Standard	Hernand
K	LIGHTNING BOLT	image-1.jpeg	Plate (Heavy)	Lightning	Non-Standard	Pailune
K	LOYAL FRIENDSHIP	Loyal-Friendship-1.jpg	Hybrid Leather-Plate	Fire, Lightning	Standard	Delesyia
K	MARTIAL MONK (T'RUKAN THE ASCENDED)	Martial-Monk-1.jpg	Hybrid Cloth-Leather	None	Standard	Demeniss, Delesyia
K	MISTCLOAKED OWL	Mistcloaked-Owl-1.jpg	Hybrid Leather-Plate	Lightning	Standard	Crimson Desert
K	MUSKET BORDER GUARD STANDARD (DUSKSONGS)	Musket-1.jpg	Hybrid Cloth-Leather	None	Standard	Crimson Desert
K	NIBRAK CLOTH (GOLDLEAF SOLDIER)	Nibrak-Cloth-1.jpg	Hybrid	Ice	Standard	Hernand
K	NORTHERN FIGHTER	Northern-Fighter-1.jpg	Hybrid Leather-Plate	Fire, Lightning	Standard	Pailune
K	ODECK'S PROTECTOR	Odecks-Protector-Plate-1.jpg	Plate (Heavy)	Fire	Standard	Hernand, Pailune
K	PAILUNESE	Pailunese-1.jpg	Cloth (Light)	Ice, Lightning	Standard	Pailune
K	PLATE ARMOR OF THE SHADOWS	Plate-Armor-of-the-Shadows-1.jpg	Plate (Heavy)	Fire	Standard	Hernand
K	PORORIN (SHAI ELDER)	Pororin-1.jpg	Hybrid Cloth-Leather	Ice, Lightning	Standard	Hernand
K	RABBIT	Rabbit-1.jpg	Hybrid Cloth-Leather	Lightning	Standard	Demeniss
K	RIDING	Riding-Set-1.jpg	Non-Upgradeable	Ice, Lightning	None	Hernand, Demeniss
K	SAHAZHAD PLATE (VARNIAN)	Sahazhad-Plate-1.jpg	Plate (Heavy)	Fire	Standard	Crimson Desert
