index	key	internal	nameKey	descKey
0	2200	Pyeonjeon_Arrow	9448928051312	9448928051313
1	50001	Arrow	214752659767408	214752659767409
2	1002557	Quiver	4305949527375984	4305949527375985
3	50003	Poison_Arrow	214761249702000	214761249702001
4	1000070	Sleep_Arrow	4295267943710832	4295267943710833
5	50011	Hyosi_Arrow	214795609440368	214795609440369
6	1001321	Bomb_Arrow	4300640947798128	4300640947798129
7	1001316	Fire_Arrow	4300619472961648	4300619472961649
8	1001315	Lightning_Arrow	4300615177994352	4300615177994353
9	1001314	Ice_Arrow	4300610883027056	4300610883027057
10	50057	MultiArrow	214993177935984	214993177935985
11	1000224	MultiArrow_Package_Small	4295929368674416	4295929368674417
12	1000026	MultiBullet	4295078965149808	4295078965149809
13	1003653	MultiBullet_Package_Small	4310656811532400	4310656811532401
14	1000063	MultiCannonBall	4295237878939760	4295237878939761
15	1003654	MultiCannonBall_Package_Small	4310661106499696	4310661106499697
16	1000692	CannonBall	4297939413368944	4297939413368945
17	1003752	Continuous_Supply_CannonBall	4311082013294704	4311082013294705
18	1001773	Marni_Special_CannonBall	4302582273015920	4302582273015921
19	1001884	BombSpider_CannonBall	4303059014385776	4303059014385777
20	1000017	Itano_CannonBall_Errant	4295040310444144	4295040310444145
21	1001935	Itano_CannonBall	4303278057717872	4303278057717873
22	1000018	Bismuth_CannonBall_Errant	4295044605411440	4295044605411441
23	1000372	Bullet	4296565023834224	4296565023834225
24	1003753	Continuous_Supply_Bullet	4311086308262000	4311086308262001
25	1001320	Shotgun_Bullet	4300636652830832	4300636652830833
26	1002125	Silver_Bullet	4304094101504112	4304094101504113
27	1001805	Fire_Bomb	4302719711969392	4302719711969393
28	1001815	Crow_Bomb	4302762661642352	4302762661642353
29	1001819	Pervin_Bomb	4302779841511536	4302779841511537
30	1001841	Brimstone_Bomb	4302874330792048	4302874330792049
31	1001842	Water_Bomb	4302878625759344	4302878625759345
32	1001844	Vine_Bomb	4302887215693936	4302887215693937
33	1000877	Smoke_Bomb	4298733982318704	4298733982318705
34	1000880	Caltrop_Bomb	4298746867220592	4298746867220593
35	1001934	Trap_Bomb	4303273762750576	4303273762750577
36	1000876	Titan_Spear	4298729687351408	4298729687351409
37	1002772	CircusMachine_Sphere	4306872945344624	4306872945344625
38	1004838	Small_Fire_Bomb	4315746347778160	4315746347778161
39	1001845	Dart	4302891510661232	4302891510661233
40	1001862	MagicBullet	4302964525105264	4302964525105265
41	1000152	MagicBullet_Fire	4295620131029104	4295620131029105
42	1000153	MagicBullet_Water	4295624425996400	4295624425996401
43	1000399	MagicBullet_Ice	4296680987951216	4296680987951217
44	1000482	MagicBullet_Dark_IceSpear	4297037470236784	4297037470236785
45	1000416	MagicBullet_DarkBall	4296754002395248	4296754002395249
46	1000429	MagicBullet_Electric	4296809836970096	4296809836970097
47	1001937	MagicBullet_LightFist	4303286647652464	4303286647652465
48	1001939	MagicBullet_Snow	4303295237587056	4303295237587057
49	52006	Goblin_Pot	223364069195888	223364069195889
50	52007	Oil_Barrel	223368364163184	223368364163185
51	1000123	InstallationBomb	4295495576977520	4295495576977521
52	1000803	Bomb_Smoke	4298416154738800	4298416154738801
53	53032	BattleStickyBomb	227770705641584	227770705641585
54	1000089	BattleSticky_FlowerBomb	4295349548089456	4295349548089457
55	53034	TimeBomb	227779295576176	227779295576177
56	1000522	ShinyStone_02	4297209268928624	4297209268928625
57	1002141	NoticePaper_Her_LostCow	4304162820980848	4304162820980849
58	1002147	NoticePaper_Her_StolenGoatHorn	4304188590784624	4304188590784625
59	1002148	NoticePaper_Her_FindSheep	4304192885751920	4304192885751921
60	1002406	NoticePaper_Her_CaveSound	4305300987314288	4305300987314289
61	1001304	Quest_Paper_Circus3	4300567933354096	4300567933354097
62	802364	NoticePaper_Circus_DontMissIt	3446127139487856	3446127139487857
63	802365	NoticePaper_Circus_ComeRightNow	3446131434455152	3446131434455153
64	802366	NoticePaper_Circus_Chairless	3446135729422448	3446135729422449
65	802286	NoticePaper_ArmWrestle	3445792132038768	3445792132038769
66	1004363	Quest_Paper_Lumberjack_Testimony	4313706238312560	4313706238312561
67	1002288	Quest_Faction_Start_LongLeafForest	4304794181173360	4304794181173361
68	1001791	NoticePaper_Finale_WhiteHorn	4302659582427248	4302659582427249
69	1001792	NoticePaper_Finale_Muscan	4302663877394544	4302663877394545
70	1001793	NoticePaper_Finale_DarkKing	4302668172361840	4302668172361841
71	1001795	NoticePaper_Finale_SkullKnight	4302676762296432	4302676762296433
72	1001796	NoticePaper_Finale_GoblinSandfang	4302681057263728	4302681057263729
73	1001797	NoticePaper_Finale_HyenabossSkevald	4302685352231024	4302685352231025
74	1001798	NoticePaper_Finale_LeeburtheShadowWolf	4302689647198320	4302689647198321
75	1001319	Quest_Paper_Her_Rhett	4300632357863536	4300632357863537
76	1002188	Quest_Paper_Her_Delkin	4304364684443760	4304364684443761
77	1002189	Quest_Paper_Her_Tina	4304368979411056	4304368979411057
78	1002190	Quest_Paper_Her_Bran	4304373274378352	4304373274378353
79	1001887	Quest_Paper_Her_Raine	4303071899287664	4303071899287665
80	1001888	Quest_Paper_Her_Alfred	4303076194254960	4303076194254961
81	1001889	Quest_Paper_Her_Dahlia	4303080489222256	4303080489222257
82	1001890	Quest_Paper_Her_Anbella	4303084784189552	4303084784189553
83	1002219	Quest_Paper_Her_Turnuli	4304497828429936	4304497828429937
84	1002220	Quest_Paper_Her_Aldun	4304502123397232	4304502123397233
85	1002221	Quest_Paper_Her_Bruna	4304506418364528	4304506418364529
86	1002222	Quest_Paper_Her_Grana	4304510713331824	4304510713331825
87	1002223	Quest_Paper_Her_Yjork	4304515008299120	4304515008299121
88	1002224	Quest_Paper_Her_Berdo	4304519303266416	4304519303266417
89	1002225	Quest_Paper_Her_Shirg	4304523598233712	4304523598233713
90	1002226	Quest_Paper_Her_Ugmum	4304527893201008	4304527893201009
91	1002227	Quest_Paper_Her_Frox	4304532188168304	4304532188168305
92	1002191	Quest_Paper_Her_Timmyr	4304377569345648	4304377569345649
93	1002228	Quest_Paper_Her_Peregrine	4304536483135600	4304536483135601
94	1002229	Quest_Paper_Her_Harveston	4304540778102896	4304540778102897
95	1002230	Quest_Paper_Her_Drianna	4304545073070192	4304545073070193
96	1002231	Quest_Paper_Her_Gloin	4304549368037488	4304549368037489
97	1002232	Quest_Paper_Her_Matilda	4304553663004784	4304553663004785
98	1002233	Quest_Paper_Her_Adelina	4304557957972080	4304557957972081
99	1001894	Quest_Paper_Dem_Mariana	4303101964058736	4303101964058737
100	1002192	Quest_Paper_Dem_Trollmag	4304381864312944	4304381864312945
101	1002193	Quest_Paper_Dem_Orlonel	4304386159280240	4304386159280241
102	1002194	Quest_Paper_Dem_Kike	4304390454247536	4304390454247537
103	1002214	Quest_Paper_Dem_Fiona	4304476353593456	4304476353593457
104	1002215	Quest_Paper_Dem_Zarkon	4304480648560752	4304480648560753
105	1002216	Quest_Paper_Dem_Eliza	4304484943528048	4304484943528049
106	1002217	Quest_Paper_Dem_Flint	4304489238495344	4304489238495345
107	1002131	Quest_Paper_Dem_Linda	4304119871307888	4304119871307889
108	1002186	Quest_Paper_Dem_Geoffroi	4304356094509168	4304356094509169
109	1002187	Quest_Paper_Dem_Mariel	4304360389476464	4304360389476465
110	1002195	Quest_Paper_Dem_Khorn	4304394749214832	4304394749214833
111	1002196	Quest_Paper_Dem_GrainHart	4304399044182128	4304399044182129
112	1001895	Quest_Paper_Dem_Palga	4303106259026032	4303106259026033
113	1001896	Quest_Paper_Dem_Eldmor	4303110553993328	4303110553993329
114	1001897	Quest_Paper_Dem_Kata	4303114848960624	4303114848960625
115	1001908	Quest_Paper_Del_Inn	4303162093600880	4303162093600881
116	1002234	Quest_Paper_Del_Lior	4304562252939376	4304562252939377
117	1002235	Quest_Paper_Del_Rainier	4304566547906672	4304566547906673
118	1002236	Quest_Paper_Del_Merrigrain	4304570842873968	4304570842873969
119	1002237	Quest_Paper_Del_Skaldar	4304575137841264	4304575137841265
120	1002238	Quest_Paper_Del_Maiden	4304579432808560	4304579432808561
121	1002239	Quest_Paper_Del_Martina	4304583727775856	4304583727775857
122	1002240	Quest_Paper_Del_Doni	4304588022743152	4304588022743153
123	1002241	Quest_Paper_Del_Randel	4304592317710448	4304592317710449
124	1002242	Quest_Paper_Del_Forex	4304596612677744	4304596612677745
125	1001909	Quest_Paper_Del_Marin	4303166388568176	4303166388568177
126	1001910	Quest_Paper_Del_Grundak	4303170683535472	4303170683535473
127	1001911	Quest_Paper_Del_Herbert	4303174978502768	4303174978502769
128	1001912	Quest_Paper_Del_Nancy	4303179273470064	4303179273470065
129	1001898	Quest_Paper_Kwe_RonHardt	4303119143927920	4303119143927921
130	1001899	Quest_Paper_Kwe_Terinand	4303123438895216	4303123438895217
131	1003212	Quest_Paper_Kwe_Gorio	4308762730954864	4308762730954865
132	1003213	Quest_Paper_Kwe_Henri	4308767025922160	4308767025922161
133	1003214	Quest_Paper_Kwe_Bargul	4308771320889456	4308771320889457
134	1003215	Quest_Paper_Kwe_Gonthyr	4308775615856752	4308775615856753
135	1003216	Quest_Paper_Kwe_Lora	4308779910824048	4308779910824049
136	1003217	Quest_Paper_Kwe_Richart	4308784205791344	4308784205791345
137	1003218	Quest_Paper_Kwe_Aldred	4308788500758640	4308788500758641
138	1003219	Quest_Paper_Kwe_Ratko	4308792795725936	4308792795725937
139	1001900	Quest_Paper_Kwe_Aeba	4303127733862512	4303127733862513
140	1001901	Quest_Paper_Kwe_Baris	4303132028829808	4303132028829809
141	1001902	Quest_Paper_Kwe_Lenard	4303136323797104	4303136323797105
142	1001907	Quest_Paper_Crim_Thibault	4303157798633584	4303157798633585
143	1002243	Quest_Paper_Crim_Khadija	4304600907645040	4304600907645041
144	1001903	Quest_Paper_Crim_Khadin	4303140618764400	4303140618764401
145	1001904	Quest_Paper_Crim_Gwendolyn	4303144913731696	4303144913731697
146	1001906	Quest_Paper_Crim_Bruknar	4303153503666288	4303153503666289
147	1002244	Quest_Paper_Crim_Arinna	4304605202612336	4304605202612337
148	1002245	Quest_Paper_Crim_Samir	4304609497579632	4304609497579633
149	1002246	Quest_Paper_Crim_Zara	4304613792546928	4304613792546929
150	1002247	Quest_Paper_Crim_Fatima	4304618087514224	4304618087514225
151	1002248	Quest_Paper_Crim_Noor	4304622382481520	4304622382481521
152	1002249	Quest_Paper_Crim_Esperd	4304626677448816	4304626677448817
153	1002305	Quest_Paper_Crim_Khalid	4304867195617392	4304867195617393
154	1002307	Quest_Paper_Crim_Thomas	4304875785551984	4304875785551985
155	1001905	Quest_Paper_Crim_Elowen	4303149208698992	4303149208698993
156	1002308	Quest_Paper_Crim_Sniks	4304880080519280	4304880080519281
157	1002309	Quest_Paper_Crim_Beatrice	4304884375486576	4304884375486577
158	1002310	Quest_Paper_Crim_Omar	4304888670453872	4304888670453873
159	1004051	Quest_Paper_Military_Notice	4312366208516208	4312366208516209
160	1004052	Quest_Paper_Askelund_Judgment	4312370503483504	4312370503483505
161	1004053	Quest_Paper_Child_Notice	4312374798450800	4312374798450801
162	1004212	Quest_Paper_Child_Notice_02	4313057698250864	4313057698250865
163	1004213	Quest_Paper_Child_Notice_03	4313061993218160	4313061993218161
164	1004214	Quest_Paper_Child_Notice_04	4313066288185456	4313066288185457
